,KITCHEN ,,,,,,
,DATE,"June 1, 2026",,,,,
,PREPARED BY,,,,,,
,KITCHEN  REPRESENTATIVE,,,,,,
,FROZEN /RAW ,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
,RED BULL IN CAN 250 ML,40,10,,#REF!,,
,COKE 1.5L,11,3,,,,
,SPRITE 1.5L,7,,,7,,
,GATORADE 1.5L ,-,,,16,,
,MOUNTAIN DEW 1.5 L,1,,,17,,
,CITRIC ACID,7 KILOS,,,7 KG,,
,SODA CHARGER,60,,,60,,
,CREAM CHARGER,30,,,30,,
,,,,,,,
,GIN,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,AGIMAT GIN 700 ML,3.3,,,#REF!,,
,BOMBAY SAPPHIRE 750 ML,3,,,#REF!,,
,BEEFEATER LONDON DRY GIN 700 ML,4,,,#REF!,,
,EMPIRE GIN 1L,3.2,,,#REF!,,
,GINEBRA SAN MIGUEL 700 ML,4,,,#REF!,,
,HANAMI  700ML,1.8,,,1.8,,
,HENDRICKS 700 ML,2.1,,,#REF!,,
,MONKEY 47 500 ML,2.4,,,#REF!,,
,NORDES GIN 700 ML,4,,,#REF!,,
,SUNTORY ROKU GIN 700 ML,-,,,,,
,SIRENA BLUE PEA 700 ML,1.6,,,1.6,,
,TANQUERAY DRY 750 ML,2.6,,,#REF!,,
,VODKA,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,ABSOLUT VODKA 700 ML,6.8,,,#REF!,,
,AGIMAT VODKA 700 ML,3.6,,,#REF!,,
,BELVEDERE VODKA 700 ML,2.2,,,#REF!,,
,EMPIRE VODKA 1L,5.1,,,#REF!,,
,GREY GOOSE 750 ML,2.9,,,#REF!,,
,KANTO KARAMEL 700 ML,0.6,,,#REF!,,
,KANTO POPCORN VODKA 700 ML,1.5,,,#REF!,,
,KETEL ONE 750 ML,2.4,,,#REF!,,
,SUNTORY HAKU 700 ML,0.5,,,4,,
,STOLI VODKA 700 ML,1.2,,,3,,
,IN HOUSE CHERRY INFUSED VODKA,0.9,,,1.6,,
,TITO'S VODKA,2.1,,,#REF!,,
,RUM,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,BACARDI GOLD 750 ML,6.1,,,#REF!,,
,BACARDI SUPERIOIR 750 ML,3.3,,,#REF!,,
,BACARDI BLACK 750 ML,3,,,#REF!,,
,CAPTAIN MORGAN 750 ML,3.5,,,#REF!,,
,DON PAPA 700 ML,2.5,,,#REF!,,
,INFERNO FLAMING RUM 700 ML,2.2,,,#REF!,,
,LUISITA ORO 700 ML,2.3,,,#REF!,,
,MALIBU RUM 700 ML,2.2,,,#REF!,,
,ORCHID COCONUT RUM 700 ML,2.2,,,#REF!,,
,PALAWAN RUM 700 ML,3.3,,,#REF!,,
,PARADISE MANGO RUM 700 ML,2,,,#REF!,,
,TANDUAY DARK 750 ML,6.3,,,#REF!,,
,VERY OLD CAPTAIN 750 ML,2,,,#REF!,,
,BACARDI 8 YRS OLD RUM 750 ML,2,,,#REF!,,
,"PLANTATION ORIGINAL DARK,DOUBLE AGED RUM 700 ML",1.8,,,1.8,,
,PLANTATION RUM PINEAPLLE 700 ML,0.7,,,0.7,,
,WHISKEY,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,DEWARS 12 750 ML,2.4,,,#REF!,,
,DEWARS 15 750 ML,3,,,#REF!,,
,DEWARS 8 JAPANESE SMOOTH 750 ML,2.7,,,#REF!,,
,JOHNNIE WALKER  BLACK LABEL 700 ML,6.9,,,#REF!,,
,JOHNNIE WALKER  BLUE LABEL 700 ML,2,,,2,,
,JOHNNIE WALKER  BLONDE 700 ML,0.2,,,0.2,,
,JOHNNIE WALKER  DOUBLEBLACK LABEL 700 ML,3,,,3,,
,JOHNNIE WALKER  GOLD LABEL 700 ML,2.4,,,2.4,,
,JACK DANIELS 700 ML,13.5,,,#REF!,,
,JIM BEAM 700 ML,3.1,,,#REF!,,
,JOHN JAMESON 700 ML,3.1,,,#REF!,,
,MONKEY SHOULDER 700 ML,1.7,,,#REF!,,
,NIKKA CLEAR BLEND BLACK WHISKY 700 ML,2,,,2,,
,SUNTORY OLD 700 ML,1,,,1,,
,WHITE CASTLE CALIBRE 69 WHISKY 700 ML,5.3,,,#REF!,,
,BULLEIT 1L,2.8,,,2.8,,
,CHARLES AND JAMES 1L,4.7,,,#REF!,,
,JAMESON BLACK BARREL,1,,,1,,
,,,,,,,
,TEQUILA,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,1800 REPOSADO 750 ML,1.5,,,#REF!,,
,1800 SILVER 750 ML,0.5,,,0.5,,
,CAZADORES 750 ML,6.2,,,#REF!,,
,JOSE CUERVO REPOSADO 1L,1.3,,,#REF!,,
,JOSE CUERVO REPOSADO 700ML,12,,,12,,
,OLMECA 700 ML,2,,,#REF!,,
,PATRON ANEJO 750 ML,1.8,,,#REF!,,
,PATRON REPOSADO 750 ML,1.5,,,#REF!,,
,PATRON SILVER 750 ML,1.6,,,1.6,,
,EL HOMBRE TEQUILA GOLD W/ SHOT GLASS 700 ML,5.8,,,#REF!,,
,,,,,,,
,SINGLE MALT,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,GLENLIVET 12 750 ML,0.6,,,0.6,,
,GLENMORANGIE 10 700 ML,2.4,,,2.4,,
,GLENMORANGIE X 700 ML,0.8,,,0.8,,
,SINGLETON 12 700 ML,1.4,,,1.4,,
,SINGLETON 15 700 ML,1.4,,,#REF!,,
,,,,,,,
,SINGLE MALT,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,ABSINTHE LA FEE 750 ML,0.6,,,0.6,,
,AMADEO COFFEE LIQOUR 750 ML,2.5,,,#REF!,,
,DISARONO 700 ML,5.8,,,#REF!,,
,APEROL 700 ML,-,,,,,
,BAILEY'S 700 ML,1.1,,,#REF!,,
,CAMPARI  750 ML,2.3,,,#REF!,,
,CINZANO VERMOUTH BIANCO 1L,-,,,2,,
,COINTREAU 700 ML,3,,,#REF!,,
,GAYUMA 700 ML,0.1,,,0.1,,
,INTRAMUROS LIQUER DE CACAO 750 ML,3,,,#REF!,,
,JAGERMEISTER 700 ML,15.4,,,15.4,,
,MARTINI BIANCO 1L MARTINI DRY 1L,-,,,1.7,,
,MARTINI DRY 1L,-,,,2.8,,
,MARTINI VERMOUTH ROSSO  1L,0.7,,,#REF!,,
,ORCHID BLUE CURACAO 700 ML,3.3,,,3.3,,
,ORCHID CRÈME DE BANANA 700 ML,3.4,,,#REF!,,
,ORCHID GRENADINE 700 ML,3.7,,,#REF!,,
,ORCHID MELON LIQUER ML,2.1,,,#REF!,,
,"ST, GERMAN 700 ML",-,,,1,,
,SULA COFFEEE 750 ML,2.4,,,#REF!,,
,SULA COONUT 750 ML,1.7,,,#REF!,,
,SULA CHOCOLATE 750 ML,3.6,,,#REF!,,
,WALSH TRIPLE SEC 750 ML,4,,,#REF!,,
,UBE LIQUER 700 ML,0.4,,,0.4,,
,PASTIS,-,,,1,,
,CYNAR RICETTA ORIGINAL 700 ML,-,,,2,,
,,,,,,,
